Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
PBDT-TT,-5.23,-3.34,1.88,6TIC,-5.45,-3.94,1.37,01:01.5,o-DCB,25,100,25,PEDOT:PSS,C60-bissalt,0.812,19.1,61,9.46
PBDT-TT,-5.23,-3.34,1.88,ITIC,-5.6,-3.86,1.59,01:01.5,o-DCB,25,100,25,PEDOT:PSS,C60-bissalt,0.849,15.8,65,8.72
PBDT-TT,-5.23,-3.34,1.88,IT-M,-5.58,-3.82,1.61,01:01.5,o-DCB,25,100,25,PEDOT:PSS,C60-bissalt,0.904,16.5,67,9.99
J71,-5.44,-3.45,1.6,A201,-5.69,-3.93,1.64,1:01,CF,,,25,PEDOT:PSS,Ca,0.88,13.15,67.15,9.36
J52,-5.13,-3.22,1.91,BTA13,-5.34,-3.62,1.72,1:01,CF,12,105,170,PEDOT:PSS,Ca,1.05,12.7,58.66,7.82
J52-F,-5.29,-3.38,1.92,BTA13,-5.34,-3.62,1.72,1:01,CF,12,108,150,PEDOT:PSS,Ca,1.18,11.55,61.34,8.36
J52-FS,-5.32,-3.39,1.93,BTA13,-5.34,-3.62,1.72,1:01,CF,12,96,150,PEDOT:PSS,Ca,1.24,6.74,45.96,3.84
J61,-5.22,-3.21,1.66,BT-IC,-5.32,-3.85,1.43,1:01,CF,16,130,120,PEDOT:PSS,PDINO,0.87,16.35,67.1,9.56
J71,-5.25,-3.18,1.78,BT-IC,-5.32,-3.85,1.43,01:01.5,CF,16,130,120,PEDOT:PSS,PDINO,0.9,17.75,65.7,10.46
J51,-5.2,-3.01,1.91,IDIC,-5.69,-3.91,1.62,1:01,CF,12,100,25,MoOx,ZnO,0.796,12.24,66,6.94
PDBT-T1,-5.36,-3.43,1.85,IDIC,-5.69,-3.91,1.62,1:01,CF,12,100,25,MoOx,ZnO,0.834,16.98,73.2,10.37
PDCBT,-5.32,-3.3,1.9,IDIC,-5.69,-3.91,1.62,1:01,CF,12,100,25,MoOx,ZnO,0.814,11.31,64.1,6.28
PTB7-Th,-5.2,-3.56,1.58,IDIC,-5.69,-3.91,1.62,1:01,CF,12,100,25,MoOx,ZnO,0.806,10.9,56.1,5.24
PTFBDT-BZS,-5.43,-3.58,1.81,IDIC,-5.69,-3.91,1.62,1:01,CF,12,100,25,MoOx,ZnO,0.905,17.3,70.8,11.03
J61,-5.32,-3.08,1.93,IDT-IC,-5.69,-3.88,1.72,1:01,CF,,120,160,PEDOT:PSS,PDINO,0.88,13.7,57.3,6.95
J61,-5.32,-3.08,1.93,SJ-IC,-5.61,-3.94,1.49,1:01,CF,,120,160,PEDOT:PSS,PDINO,0.83,16.99,65.95,9.27
J71,-5.4,-3.24,1.54,IDTT-BH,-5.24,-3.86,1.54,01:01.4,CF,12,100,25,PEDOT:PSS,PDINO,0.9,17.77,69.1,11.05
PBDB-T,-5.33,-2.92,1.64,IDTT-BH,-5.24,-3.86,1.54,01:00.8,CF,9,90,100,PEDOT:PSS,PDINO,0.85,16.86,69.2,9.92
PDCBT,-5.31,-3,1.5,IDTT-BH,-5.24,-3.86,1.54,01:01.2,CF,11,120,120,PEDOT:PSS,PDINO,0.88,17.15,68.6,10.35
J71,-5.4,-3.24,1.54,IDTT-OBH,-5.41,-3.86,1.57,1:01,CF,10,100,25,PEDOT:PSS,PDINO,0.92,14.75,61,8.02
PBDB-T,-5.33,-2.92,,IDTT-OBH,-5.41,-3.86,1.57,01:00.8,CF,9,90,110,PEDOT:PSS,PDINO,0.87,17.46,72,10.93
PDCBT,-5.31,-3,,IDTT-OBH,-5.41,-3.86,1.57,01:01.2,CF,11,100,120,PEDOT:PSS,PDINO,0.91,13.97,64.8,8.24
J52,-5.3,,,IEICO-4Cl,-5.56,-4.23,1.23,01:01.5,CB,10,110,100,PEDOT:PSS,PFN-Br,0.7,23.8,60.7,10.1
PBDB-T,-5.3,,,IEICO-4Cl,-5.56,-4.23,1.23,1:01,CB,10,100,100,PEDOT:PSS,PFN-Br,0.744,20.8,62.5,9.67
PTB7-Th,-5.3,,,IEICO-4Cl,-5.56,-4.23,1.23,01:01.5,CB,10,110,100,PEDOT:PSS,PFN-Br,0.727,22.8,62,10.3
J52,-5.21,-2.99,1.96,IEICO-4F,-5.1098,-3.3772,1.29,01:01.3,CB,24,85,130,MoOx,ZnO,0.704,20.48,56.9,8.2
J52,,,1.96,i-IEICO-4F,-5.0183,-3.3307,1.56,1:01,CB,24,85,130,MoOx,ZnO,0.849,22.86,67.9,13.18
J71,-5.4,-3.24,,ITCPTC,-5.54,-3.45,1.58,1:01,CF,,110,150,PEDOT:PSS,PDINO,0.896,17.52,74.1,11.63
J71,-5.4,-3.24,,MeIC,-5.57,-3.92,1.58,1:01,CF,,110,150,PEDOT:PSS,PDINO,0.918,18.41,74.2,12.54
J40,-5.4,-2.9,1.95,ITIC,,,,1:01,CF,16,,120,PEDOT:PSS,PDINO,0.89,12.18,60.13,6.48
J50,-5.13,-3.16,1.88,ITIC,-5.48,-3.83,1.59,1:02,CF,18,,150,PEDOT:PSS,PDINO,0.71,12.93,53,4.8
J51,-5.26,-3.08,1.91,ITIC,-5.48,-3.83,1.59,1:02,CF,18,,150,PEDOT:PSS,PDINO,0.82,16.47,69,9.26
J52,-5.21,-2.99,1.96,ITIC,-5.48,-3.83,1.57,1:01,CF,20,,100,PEDOT:PSS,PDINO,0.73,13.11,57.8,5.51
