Donor,Acceptor,Light source,Condition LUX,Voc,Jsc,FF,Donor_HOMO,Donor_LUMO,,Acceptor_HOMO,Acceptor_LUMO,EffectiveEg,Target
P3HT,PC61BM,FL,300 ,0.41,0.0206,56.6,5.2,3.2,,6.1,3.7,1.5,5.8
PCDTBT,PC71BM,FL,300 ,0.72,0.0277,69.3,5.4,3.6,,6.1,4.2,1.2,16.6
PTB7,PC71BM,FL,300 ,0.61,0.0286,69.5,5.15,3.31,,6.1,4.2,0.95,14.6
PCDTBT,PC71BM,LED,300 ,0.737,0.0311,63.4,5.4,3.6,,6.1,4.2,1.2,18.72
PTB7-Th(PCE10),PC71BM,LED,890 ,0.62,0.092,74,5.24,3.66,,6.1,4.2,1.04,11.63
PBDB-T,BTA3,LED,1000 ,0.99,0.1116,70.1,5.33,2.92,,5.59,3.7,1.63,23.9
PTB7-Th(PCE10),PC71BM,LED,1000 ,0.65,0.117,57,5.24,3.66,,5.9,3.9,1.34,12.28
PTB7-Th(PCE10),PC71BM,FL,1000 ,0.63,0.119,59,5.24,3.66,,5.9,3.9,1.34,13.42
PTB7-Th(PCE10),PC71BM,FL,200 ,0.57,0.021,61,5.24,3.66,,5.9,3.9,1.34,11.3
PTB7-Th(PCE10),PC71BM,LED,200 ,0.57,0.022,62,5.24,3.66,,5.9,3.9,1.34,11.15
PTB7-Th(PCE10),PC71BM,FL,500 ,0.62,0.0574,54,5.24,3.66,,6.1,4.2,1.04,11.6
PTB7-Th(PCE10),PC71BM,LED,500 ,0.62,0.0597,55,5.24,3.66,,6.1,4.2,1.04,11.6
PTB7-Th(PCE10),PC71BM,FL,500 ,0.62,0.062,55,5.24,3.66,,6.1,4.2,1.04,12.9
PTB7-Th(PCE10),PC71BM,LED,500 ,0.62,0.068,58,5.24,3.66,,6.1,4.2,1.04,13.3
PTB7-Th(PCE10),PC71BM,LED,186 ,0.56,0.019,72,5.24,3.66,,6.1,4.2,1.04,10.55
PDTBTBz-2Fanti,PC71BM,LED,1000 ,0.817,0.1124,70.4,5.5,3.49,,6.1,4.2,1.3,23.1
P3HT,PC71BM,LED,1000 ,0.5,0.0737,71.9,5.2,3.2,,6.1,4.2,1,9.4
PBDB-T,PC71BM,LED,1000 ,0.67,0.0902,71.3,5.33,2.92,,6.1,4.2,1.13,15.3
PTB7-Th(PCE10),PC71BM,LED,1000 ,0.57,0.0876,69.3,5.15,3.31,,6.1,4.2,0.95,12.3
DTCPB,C70,FL,200 ,0.66,0.0217,54.2,5.66,3.22,,5.54,4.04,1.62,13.37
DTCPB,C70,FL,1000 ,0.73,0.0992,62.8,5.66,3.22,,5.54,4.04,1.62,15.67
WF3,PC71BM,LED,500 ,0.57,0.0583,64.2,5.44,3.58,,6.1,4.2,1.24,12.83
WF3S,PC71BM,LED,500 ,0.61,0.0604,65.7,5.45,3.4,,6.1,4.2,1.25,14.32
WF3F,PC71BM,LED,500 ,0.69,0.0636,67.4,5.62,3.45,,6.1,4.2,1.42,17.34
P1,PC71BM,LED,300 ,0.76,0.0296,66.1,5.59,3.59,,6.1,4.2,1.39,19.15
P1,PC71BM,LED,300 ,0.76,0.0282,67.2,5.59,3.59,,6.1,4.2,1.39,18.43
P3HT,PC61BM,LED,500 ,0.43,0.062,59,5.2,3.2,,6.1,3.7,1.5,8.9
P3HT,PC61BM,FL,500 ,0.43,0.062,59,5.2,3.2,,6.1,3.7,1.5,9.59
P3HT,ICBA,LED,500 ,0.73,0.05,63,5.2,3.2,,5.9,4,1.2,13.05
P3HT,ICBA,FL,500 ,0.73,0.05,62,5.2,3.2,,5.9,4,1.2,13.76
BTR,PC71BM,FL,1000 ,0.791,0.1331,75.2,5.34,3.52,,6.1,4.2,1.14,28.1
PPDT2FBT,ITIC-M,LED,300 ,0.53,0.0208,57,5.45,3.69,,5.5,3.7,1.75,6.9
PPDT2FBT,ITIC-M,LED,1000 ,0.62,0.0685,54.6,5.45,3.69,,5.5,3.7,1.75,7.5
PPDT2FBT,ITIC-F ,LED,300 ,0.29,0.0348,31.3,5.45,3.69,,5.4,3.9,1.55,3.5
PPDT2FBT,ITIC-F ,LED,1000 ,0.45,0.0855,37.6,5.45,3.69,,5.4,3.9,1.55,4.7
PPDT2FBT,tPDI2N-EH,LED,300 ,0.79,0.0209,49.9,5.45,3.69,,5.9,3.6,1.85,9
PPDT2FBT,tPDI2N-EH,LED,1000 ,0.84,0.0654,50.2,5.45,3.69,,5.9,3.6,1.85,8.9
PPDT2FBT,PC61BM,LED,1000 ,0.62,0.085,69.5,5.45,3.69,,6.1,3.7,1.75,11.8
PPDT2FBT,PC61BM,LED,1000 ,0.62,0.0946,69.8,5.45,3.69,,6.1,3.7,1.75,13.8
CD1,ITIC,FL,1000 ,0.78,0.116,68.1,5.28,2.91,,5.48,3.83,1.45,17.9
CD1,ITIC,LED,1000 ,0.77,0.107,67.5,5.28,2.91,,5.48,3.83,1.45,15.4
PBDB-TF(PM6),IO-4Cl,LED,1000 ,1.1,0.0906,79.1,5.45,3.65,,5.72,3.83,1.62,26.1
PBDB-TF(PM6),ITCC,LED,1000 ,0.962,0.0958,72.2,5.45,3.65,,5.47,3.76,1.69,22
PBDB-TF(PM6),IT-4F,LED,1000 ,0.712,0.113,78,5.45,3.65,,5.66,4.14,1.31,20.8
PBDB-TF(PM6),IT-4F,FL,500 ,0.577,0.05578,65.25,5.45,3.65,,5.66,4.14,1.31,15.57
PBDB-TSCl,IT-4F,FL,500 ,0.63,0.0604,76.29,5.61,3.8,,5.66,4.14,1.47,21.53
PBDB-TS-4Cl,IT-4F,FL,500 ,0.64,0.0649,73.9,5.61,3.79,,5.66,4.14,1.47,21.7
PBDB-TS,IT-4F,FL,1000 ,0.48,0.126,36.2,5.45,3.64,,5.66,4.14,1.31,7
TPD-3F,IT-4F,FL,1000 ,0.75,0.0993,65.1,5.62,3.73,,5.66,4.14,1.48,26.2
PPDT2FBT,ITIC-M,LED,1000 ,0.63,0.0774,54.4,5.45,3.69,,5.58,3.93,1.52,8.9
PPDT2FBT,ITIC-F ,LED,1000 ,0.45,0.0969,37.2,5.45,3.69,,5.66,4.14,1.31,5.4
PBDB-TF(PM6),IT-M,LED,500 ,0.88,0.0542,75.4,5.45,3.65,,5.58,3.93,1.52,22.8
PBDB-TF(PM6),HD-4Cl,LED,1000 ,0.69,0.1171,72,5.45,3.65,,5.65,3.65,1.8,19.9
PBDB-TF(PM6),HDO-4Cl,LED,1000 ,0.793,0.116,75.7,5.45,3.65,,5.64,3.46,1.99,23.4
PBDB-TF(PM6),PC71BM,LED,1000 ,0.784,0.0941,74.1,5.45,3.65,,6.1,4.2,1.25,18.1
PBDB-TF(PM6),IT-4F,LED,200 ,0.659,0.0228,73.4,5.45,3.65,,5.66,4.14,1.31,18.2
PBDB-TF(PM6),IT-4F,LED,500 ,0.692,0.0566,75.6,5.45,3.65,,5.66,4.14,1.31,19.6
PBDB-TF(PM6),ITCC,LED,200 ,0.918,0.0192,70,5.45,3.65,,5.47,3.76,1.69,20.4
PBDB-TF(PM6),ITCC,LED,500 ,0.948,0.0478,70.6,5.45,3.65,,5.47,3.76,1.69,21.2
PBDB-TF(PM6),ITCC,FL,500 ,0.944,0.0395,73.1,5.45,3.65,,5.47,3.76,1.69,22
P3HT,ICBA,LED,500 ,0.696,0.0445,73.3,5.2,3.2,,5.9,4,1.2,13.4
P3HT,ICBA,FL,1000 ,0.72,0.0799,73.4,5.2,3.2,,5.9,4,1.2,12.8
PBDB-TF(PM6),IT-4F,LED,200 ,0.626,0.02244,70.32,5.45,3.65,,5.66,4.14,1.31,16.35
PBDB-TF(PM6),IT-4F,LED,500 ,0.657,0.05318,71.19,5.45,3.65,,5.66,4.14,1.31,16.47
PBDB-TF(PM6),IT-4F,LED,1000 ,0.671,0.09459,71.48,5.45,3.65,,5.66,4.14,1.31,15.03
PTB7-Th(PCE10),PC71BM,LED,500 ,0.59,0.066,58,5.24,3.66,,5.9,3.9,1.34,13.2
PBDB-TS,IT-4F,FL,500 ,0.36,0.0668,30.9,5.45,3.64,,5.66,4.14,1.31,5.3
PBDB-TS-3Cl,IT-4F,FL,500 ,0.64,0.0628,72.2,5.61,3.79,,5.66,4.14,1.47,20.4
P3TEA,FTTB-PDI4,LED,1650 ,0.99,0.189,47,5.4,3.6,,5.7,3.6,1.8,17.72
P3TEA,FTTB-PDI4,LED,1650 ,1.02,0.196,67,5.4,3.6,,5.7,3.6,1.8,26.67
PBDB-TF(PM6),Y6-O,LED,1650 ,0.83,0.239,57,5.45,3.65,,5.75,3.71,1.74,22.47
PBDB-TF(PM6),Y6-O,LED,1650 ,0.84,0.245,76,5.45,3.65,,5.75,3.71,1.74,30.89
PTB7-Th(PCE10),PC71BM,FL,500 ,0.58,0.063,59,5.24,3.66,,6.1,4.2,1.04,13.14
PTB7,PC71BM,LED,500 ,0.6,0.046,54.3,5.15,3.31,,6.1,4.2,0.95,9.11
PCDTBT,PC71BM,LED,300 ,0.737,0.0311,63.4,5.4,3.6,,6.1,4.2,1.2,18.72
PBDB-TF(PM6),PC71BM,LED,1000 ,0.784,0.0941,67.1,5.45,3.65,,6.1,4.2,1.25,18.1
PPDT2FBT,PC71BM,LED,1000 ,0.587,0.117,65.2,5.45,3.69,,6.1,4.2,1.25,16
PPDT2FBT,PC61BM,LED,1000 ,0.62,0.085,69.5,5.45,3.69,,6.1,3.7,1.75,11.8
TPD-3F,IT-4F,FL,1000 ,0.75,0.0398,65.1,5.62,3.73,,5.66,4.14,1.48,26.2
PCDTBT,PC71BM,LED,300 ,0.698,0.0264,55.7,5.4,3.6,,6.1,4.2,1.2,13.21
P3TEA,FTTB-PDI4,LED,170 ,0.37,0.0209,63.9,5.4,3.6,,5.7,3.6,1.8,24.2
PPDT2FBT,PC71BM,LED,1000 ,0.563,0.1075,57.8,5.45,3.69,,5.9,3.9,1.55,12.5
PBDB-T,N2200,LED,1200 ,0.71,0.1037,75.02,5.33,2.92,,5.9,4.3,1.03,15.29
PBDB-T,N2200,LED,1000 ,0.7,0.089,70.46,5.33,2.92,,5.9,4.3,1.03,14.54
PBDB-T,N2200,LED,500 ,0.69,0.042,68.6,5.33,2.92,,5.9,4.3,1.03,14.26
CD1,PBN-10,FL,1000 ,1.14,0.12,66.2,5.28,2.91,,5.81,3.42,1.86,26.2
CD1,PBN-10,LED,1000 ,1.14,0.105,65.4,5.28,2.91,,5.81,3.42,1.86,21.7
PTB7,PNP,LED,200 ,0.57,0.019,67,5.15,3.31,,5.97,3.67,1.48,9.5
BDT-2T-ID,PNP,LED,200 ,0.75,0.0242,68,5.13,3.41,,5.97,3.67,1.46,16
BDT-1T-ID,PNP,LED,200 ,0.84,0.0192,59,5.23,3.43,,5.97,3.67,1.56,12.4
1DTP-1D,PNP,LED,200 ,0.67,0.0246,68,5.25,3.6,,5.97,3.67,1.58,19.3
2DTP-1D,PNP,LED,200 ,0.72,0.0228,63,5.35,3.65,,5.97,3.67,1.68,17.8
PTB7,PNP,LED,200 ,0.58,0.0193,68,5.15,3.31,,5.97,3.67,1.48,9.9
PTVT-V,ITCC,LED,1000 ,0.859,0.04108,45.54,5.36,3.1,,5.58,3.77,1.59,5.1
PTVT-T,ITCC,LED,1000 ,0.967,0.103,76.72,5.38,3.01,,5.58,3.77,1.61,24.27
BDT-2T-ID,PC61BM,LED,200 ,0.72,0.0231,49,5.13,3.41,,6.1,3.7,1.43,10.5
BDT-2T-ID,PC71BM,LED,200 ,0.71,0.0231,51,5.13,3.41,,5.9,3.9,1.23,10.9
PBDB-TF(PM6),FCC-Cl,LED,2000 ,0.914,0.2432,81,5.45,3.65,,5.73,3.71,1.74,28.3
D18,FCC-Cl,LED,2000 ,0.97,0.2412,79.7,5.43,3.46,,5.73,3.71,1.72,29.4
PBDB-TF(PM6),FCC-Cl,LED,1000 ,0.895,0.1206,80.6,5.45,3.65,,5.73,3.71, ,27.3
D18,FCC-Cl,LED,2000 ,0.97,0.2138,79.3,5.43,3.46,,5.73,3.76,1.67,28.1
D18,FCC-Cl-4Ph,LED,2000 ,0.995,0.2153,78.5,5.43,3.46,,5.75,3.74,1.69,28.9
D18,FCC-Cl-6Ph,LED,2000 ,1.018,0.1853,69.1,5.43,3.46,,5.75,3.7,1.73,22.1
D18,Cl-BTA5,LED,1000 ,1.019,0.09111,68.96,5.51,3.55,,5.71,3.97,1.77,21.2
D18-Cl,F-BTA3,LED,1000 ,1.08,0.0955,72.2,,,,5.59,3.82,,24.7
PBQx-TCl,DTz-R1,LED,500 ,1.07,0.0475,81.1,5.43,2.96,,5.5,3.6,1.83,26.8
PBQx-TCl,BTA3,LED,500 ,1.08,0.0423,79.5,5.43,2.96,,5.55,3.57,1.86,23.6
PBQx-TCl,DTz-R3,LED,500 ,1.08,0.0375,76.3,5.43,2.96,,5.56,3.57,1.86,20.1
PTQ10,IDIC,LED,1900 ,0.85,0.19,60,5.54,2.98,,5.33,3.53,2.01,19
PTQ10,IDIC-Br,LED,1900 ,0.76,0.24,64,5.54,2.98,,5.9,4.07,1.47,23
PTQ10,IDIC-S,LED,1900 ,0.77,0.17,65,5.54,2.98,,5.41,3.64,1.9,17
PTQ10,IDIC,LED,1200 ,0.84,0.12,56,5.54,2.98,,5.33,3.53,2.01,18
PTQ10,IDIC-Br,LED,1200 ,0.73,0.15,64,5.54,2.98,,5.9,4.07,1.47,22
PTQ10,IDIC-S,LED,1200 ,0.76,0.104,59,5.54,2.98,,5.41,3.64,1.9,15
CD1,N2200,FL,1000 ,0.75,0.087,69.8,5.28,2.91,,5.77,3.84,1.44,13.04
CD1,N2200,LED,1000 ,0.76,0.087,69,5.28,2.91,,5.77,3.84,1.44,12.5
CD1,PBN-14,FL,1000 ,1.07,0.116,63.4,5.28,2.91,,5.58,3.53,1.75,22.89
CD1,PBN-14,LED,1000 ,1.06,0.116,62.6,5.28,2.91,,5.58,3.53,1.75,21.39
CD1,PBN-10,FL,1000 ,1.13,0.104,59.7,5.28,2.91,,5.81,3.42,1.86,20.29
CD1,PBN-10,LED,1000 ,1.12,0.094,59.7,5.28,2.91,,5.81,3.42,1.86,17.5
PB2,F-BTA3,LED,1000,1.08,0.0981,78.8,5.48,3.42,,5.59,3.82,1.66,27.1
PB2,ITCC,LED,1000,0.951,0.1093,76.6,5.48,3.42,,5.62,3.77,1.71,25.4
PB2,FTCC-Br,LED,1000,0.943,0.1238,81.1,5.48,3.42,,5.64,3.78,1.7,30.2
PTQ10,PC71BM,LED,180 mWcm-2,0.79,0.0625,73,5.54,2.98,,5.9,3.9,1.64,19.9
PBDB-TF(PM6),Y6,LED,500 ,0.7,0.0629,74.8,5.45,3.65,,5.6,4.1,1.35,20.9
PM6,F-BTA3,LED,1000 ,1.062,0.082,70.8,5.45,3.65,,5.59,3.82,1.63,20.35
PM6,F-BTA3,LED,1000 ,1.066,0.083,71.6,5.45,3.65,,5.59,3.82,1.63,20.91
PM6,F-BTA3,LED,1000 ,1.058,0.083,71.2,5.45,3.65,,5.59,3.82,1.63,20.63
PB2,FCC-Cl,LED,1000 ,0.92,0.123,79.8,5.48,3.42,,5.73,3.71,1.77,29.1
PB2,FCC-Cl,LED,1000 ,0.926,0.126,80.78,5.48,3.42,,5.73,3.71,1.77,30.4
PB2,FCC-Cl,LED,500 ,0.909,0.0638,78.9,5.48,3.42,,5.73,3.71,1.77,29
PTB7-Th(PCE10),PC71BM,LED,500 ,0.47,0.0522,37.5,5.24,3.66,,5.9,3.9,1.34,5.84
PBDB-TF(PM6),Y6,LED,1000 ,0.72,0.1466,77,5.45,3.65,,5.6,4.1,1.35,36.3
PBDB-TF(PM6),Y6,FL,1000 ,0.722,0.1626,77.5,5.45,3.65,,5.6,4.1,1.35,33.7
J52-Cl,BTA3,LED,1000 ,1.07,0.09682,77.4,5.39,3.45,,5.49,3.73,1.66,26.66
PM6,GS-ISO,LED,1000 ,1.08,0.1048,69.76,5.45,3.65,,5.51,3.69,1.76,25.84
PM6,GS-ISO,LED,1000 ,1.09,0.10151,80.36,5.45,3.65,,5.51,3.69,1.76,29.15
PM6,F-BTA3,LED,1000 ,1.062,0.082,70.8,5.45,3.65,,5.59,3.82,1.63,20.35
TPD-3F,FCC-Cl,LED,1000 ,0.96,0.106,71,5.62,3.73,,5.73,3.71,1.91,21.6
PM6,IT-4Cl,LED,4000 ,0.83,0.363,74.2,5.45,3.65,,5.75,4.09,1.36,21.4
PM6,IT-4Cl,LED,400 ,0.75,0.0356,69,5.45,3.65,,5.75,4.09,1.36,17.18
PBDB-T,PC70BM,LED,1000 ,0.64,0.08073,60.71,5.33,2.92,,5.9,3.9,1.43,11.32
PBDB-T,ITIC-Th,LED,1000 ,0.7,89.25,67.03,5.33,2.92,,5.66,3.93,1.4,14.96
PBDB-TF(PM6),IT-4F,LED,1000 ,0.66,0.1182,68.06,5.45,3.65,,5.66,4.14,1.31,19.05
PBDB-TF(PM6),PC70BM,LED,1000 ,0.73,0.09846,64.86,5.45,3.65,,5.9,3.9,1.55,16.69
PBDB-TF(PM6),Y6,LED,500 ,0.64,0.07155,72.4,5.45,3.65,,5.6,4.1,1.35,23.78
